date,poids
2022-04-19,79.00
2022-05-07,77.50
2022-05-08,78.50
2022-05-09,79.60
2022-05-10,77.30
2022-05-11,78.20
2022-05-12,78.80
2022-05-13,79.90
2022-05-14,79.40
2022-05-15,78.80
2022-05-16,78.60
2022-05-17,78.00
2022-05-18,78.50
2022-05-19,79.20
2022-05-23,78.90
2022-05-24,76.60
2022-05-25,77.90
2022-05-26,78.40
2022-05-27,79.30
2022-05-28,79.60
2022-05-29,79.70
2022-05-30,79.80
2022-05-31,78.80
2022-06-01,79.20
2022-06-02,79.40
2022-06-03,80.70
2022-06-04,79.40
2022-06-05,78.90
2022-06-06,79.50
2022-06-07,79.70
2022-06-08,79.90
2022-06-09,79.70
2022-06-10,79.60
2022-06-11,80.90
2022-06-12,79.50
2022-06-13,80.00
2022-06-14,79.50
2022-06-15,80.00
2022-06-16,80.00
2022-06-17,79.50
2022-06-18,78.40
2022-06-19,77.00
2022-06-20,78.10
2022-06-21,78.00
2022-06-22,78.40
2022-06-23,79.30
2022-06-24,79.10
2022-06-25,78.00
2022-06-26,78.80
2022-06-27,79.70
2022-06-28,79.40
2022-06-29,79.00
2022-06-30,80.20
2022-07-02,77.90
2022-07-03,77.70
2022-07-04,78.50
2022-07-05,78.60
2022-07-06,77.20
2022-07-07,78.00
2022-07-08,77.60
2022-07-09,79.00
2022-07-10,78.40
2022-07-11,78.00
2022-07-12,78.20
2022-07-13,79.30
2022-07-14,78.20
2022-07-15,78.70
2022-07-16,78.60
2022-07-17,78.70
2022-07-18,78.20
2022-07-19,79.10
2022-07-20,76.70
2022-07-21,78.90
2022-07-24,76.70
2022-07-25,77.80
2022-07-26,78.10
2022-07-27,78.50
2022-07-28,78.90
2022-07-29,78.20
2022-07-30,78.80
2022-07-31,79.80
2022-08-01,79.20
2022-08-02,78.90
2022-08-03,80.50
2022-08-04,79.80
2022-08-05,79.00
2022-08-06,79.50
2022-08-07,78.90
2022-08-12,79.10
2022-08-15,79.30
2022-08-20,78.70
2022-08-22,77.40
2022-08-23,79.00
2022-08-24,77.90
2022-08-28,79.00
2022-09-03,78.40
2022-09-09,78.40
2022-09-10,76.70
2022-09-12,76.80
2022-09-14,78.40
2022-09-16,78.20
2022-09-17,78.60
2022-09-18,78.80
2022-09-19,79.00
2022-09-20,78.10
2022-09-21,78.60
2022-09-22,79.70
2022-09-24,78.50
2022-09-25,78.80
2022-09-26,79.50
2022-09-27,80.00
